alert_id,symbol,side,alert_timestamp_utc,alert_timestamp_et,entry_timestamp_utc,entry_timestamp_et,entry_price,stop,target1,target2,exit_timestamp_utc,exit_timestamp_et,exit_price,outcome,r_multiple,holding_seconds,mfe,mae,confidence,tape_acceleration_score,continuation_quality_score,participation_ratio,regime,reason_codes
PHASE1_00001,AAPL,SELL,2026-04-06T14:00:00-04:00,2026-04-06T10:00:00-04:00,2026-04-06T14:00:00-04:00,2026-04-06T10:00:00-04:00,258.19,258.46,257.1,256.33,2026-04-06T14:10:00-04:00,2026-04-06T10:10:00-04:00,258.46,STOP_HIT,-1.0,600,0.34,0.32,0.69,1.0,0.69,1.0,CHOP,NEUTRAL
PHASE1_00002,AAPL,BUY,2026-04-06T14:50:00-04:00,2026-04-06T10:50:00-04:00,2026-04-06T14:50:00-04:00,2026-04-06T10:50:00-04:00,259.08,258.77,260.14,260.92,2026-04-06T15:05:00-04:00,2026-04-06T11:05:00-04:00,258.77,STOP_HIT,-1.0,900,0.18,0.32,0.85,1.0,0.85,1.0,CHOP,NEUTRAL
PHASE1_00003,AAPL,SELL,2026-04-07T14:40:00-04:00,2026-04-07T10:40:00-04:00,2026-04-07T14:40:00-04:00,2026-04-07T10:40:00-04:00,251.19,251.56,250.23,249.48,2026-04-07T14:55:00-04:00,2026-04-07T10:55:00-04:00,250.4,TARGET1_HIT,2.1354,900,1.07,0.0,0.85,1.0,0.85,1.0,CHOP,NEUTRAL
PHASE1_00004,AAPL,SELL,2026-04-08T14:40:00-04:00,2026-04-08T10:40:00-04:00,2026-04-08T14:40:00-04:00,2026-04-08T10:40:00-04:00,257.33,257.64,256.28,255.51,2026-04-08T14:50:00-04:00,2026-04-08T10:50:00-04:00,257.64,STOP_HIT,-1.0,600,0.185,0.385,0.69,1.0,0.69,1.0,CHOP,NEUTRAL
PHASE1_00005,AAPL,SELL,2026-04-08T14:00:00-04:00,2026-04-08T10:00:00-04:00,2026-04-08T14:00:00-04:00,2026-04-08T10:00:00-04:00,257.7,257.96,256.6,255.83,2026-04-08T15:35:00-04:00,2026-04-08T11:35:00-04:00,257.96,STOP_HIT,-1.0,5700,0.79,0.38,0.65,1.0,0.65,1.0,CHOP,NEUTRAL
PHASE1_00006,AAPL,BUY,2026-04-08T15:30:00-04:00,2026-04-08T11:30:00-04:00,2026-04-08T15:30:00-04:00,2026-04-08T11:30:00-04:00,257.18,256.92,258.8,259.57,2026-04-08T15:55:00-04:00,2026-04-08T11:55:00-04:00,258.93,TARGET1_HIT,6.804,1500,1.81,0.0,0.85,1.0,0.85,1.0,CHOP,NEUTRAL
PHASE1_00007,AAPL,SELL,2026-04-09T14:30:00-04:00,2026-04-09T10:30:00-04:00,2026-04-09T14:30:00-04:00,2026-04-09T10:30:00-04:00,259.61,260.14,258.59,257.81,2026-04-09T15:00:00-04:00,2026-04-09T11:00:00-04:00,260.14,STOP_HIT,-1.0,1800,0.11,0.6,0.65,1.0,0.65,1.0,BULL,NEUTRAL
PHASE1_00008,AAPL,BUY,2026-04-09T15:20:00-04:00,2026-04-09T11:20:00-04:00,2026-04-09T15:20:00-04:00,2026-04-09T11:20:00-04:00,259.93,259.51,261.07,261.85,2026-04-09T15:50:00-04:00,2026-04-09T11:50:00-04:00,260.72,TARGET1_HIT,1.881,1800,1.19,0.0,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00009,AAPL,BUY,2026-04-09T15:50:00-04:00,2026-04-09T11:50:00-04:00,2026-04-09T15:50:00-04:00,2026-04-09T11:50:00-04:00,260.67,260.09,261.66,262.44,2026-04-10T09:30:00-04:00,2026-04-10T05:30:00-04:00,259.95,STOP_HIT,-1.2414,63600,0.06,1.6,0.93,1.0,0.93,1.0,BULL,NEUTRAL
PHASE1_00010,AAPL,BUY,2026-04-10T15:00:00-04:00,2026-04-10T11:00:00-04:00,2026-04-10T15:00:00-04:00,2026-04-10T11:00:00-04:00,259.73,259.15,260.71,261.48,2026-04-13T09:30:00-04:00,2026-04-13T05:30:00-04:00,259.15,STOP_HIT,-1.0,239400,0.805,1.73,0.85,1.0,0.85,1.0,BULL,NEUTRAL
PHASE1_00011,AAPL,BUY,2026-04-13T14:35:00-04:00,2026-04-13T10:35:00-04:00,2026-04-13T14:35:00-04:00,2026-04-13T10:35:00-04:00,258.05,257.56,259.11,259.88,2026-04-13T15:50:00-04:00,2026-04-13T11:50:00-04:00,259.1,TARGET1_HIT,2.1753,4500,1.445,0.455,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00012,AAPL,BUY,2026-04-13T15:05:00-04:00,2026-04-13T11:05:00-04:00,2026-04-13T15:05:00-04:00,2026-04-13T11:05:00-04:00,258.11,257.25,258.8,259.57,2026-04-13T15:50:00-04:00,2026-04-13T11:50:00-04:00,259.1,TARGET1_HIT,1.1512,2700,1.38,0.52,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00013,AAPL,SELL,2026-04-14T14:45:00-04:00,2026-04-14T10:45:00-04:00,2026-04-14T14:45:00-04:00,2026-04-14T10:45:00-04:00,258.16,258.67,257.12,256.35,2026-04-14T15:25:00-04:00,2026-04-14T11:25:00-04:00,258.67,STOP_HIT,-1.0,2400,0.41,0.51,0.69,1.0,0.69,1.0,BULL,NEUTRAL
PHASE1_00014,AAPL,BUY,2026-04-14T15:55:00-04:00,2026-04-14T11:55:00-04:00,2026-04-14T15:55:00-04:00,2026-04-14T11:55:00-04:00,258.22,257.96,259.79,260.56,2026-04-15T09:30:00-04:00,2026-04-15T05:30:00-04:00,257.96,STOP_HIT,-1.0,63300,1.76,0.4,0.93,1.0,0.93,1.0,BULL,NEUTRAL
PHASE1_00015,AAPL,BUY,2026-04-15T14:20:00-04:00,2026-04-15T10:20:00-04:00,2026-04-15T14:20:00-04:00,2026-04-15T10:20:00-04:00,265.07,264.59,266.19,266.98,2026-04-15T15:50:00-04:00,2026-04-15T11:50:00-04:00,266.0,TARGET1_HIT,1.9271,5400,1.14,0.0,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00016,AAPL,BUY,2026-04-15T15:35:00-04:00,2026-04-15T11:35:00-04:00,2026-04-15T15:35:00-04:00,2026-04-15T11:35:00-04:00,265.71,265.21,266.81,267.6,2026-04-16T09:30:00-04:00,2026-04-16T05:30:00-04:00,265.21,STOP_HIT,-1.0,64500,1.445,1.935,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00017,AAPL,BUY,2026-04-16T14:40:00-04:00,2026-04-16T10:40:00-04:00,2026-04-16T14:40:00-04:00,2026-04-16T10:40:00-04:00,264.08,263.44,265.02,265.81,2026-04-16T15:55:00-04:00,2026-04-16T11:55:00-04:00,263.44,STOP_HIT,-1.0,4500,0.47,0.82,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00018,AAPL,BUY,2026-04-16T15:15:00-04:00,2026-04-16T11:15:00-04:00,2026-04-16T15:15:00-04:00,2026-04-16T11:15:00-04:00,264.22,263.29,264.87,265.66,2026-04-16T15:55:00-04:00,2026-04-16T11:55:00-04:00,263.29,STOP_HIT,-1.0,2400,0.0299,0.9601,0.93,1.0,0.93,1.0,BULL,NEUTRAL
PHASE1_00019,AAPL,BUY,2026-04-17T15:45:00-04:00,2026-04-17T11:45:00-04:00,2026-04-17T15:45:00-04:00,2026-04-17T11:45:00-04:00,270.48,269.71,271.33,272.14,2026-04-17T15:50:00-04:00,2026-04-17T11:50:00-04:00,269.71,STOP_HIT,-1.0,300,0.01,0.77,0.85,1.0,0.85,1.0,BULL,NEUTRAL
PHASE1_00020,AAPL,BUY,2026-04-20T14:10:00-04:00,2026-04-20T10:10:00-04:00,2026-04-20T14:10:00-04:00,2026-04-20T10:10:00-04:00,273.35,272.84,274.48,275.3,2026-04-20T15:25:00-04:00,2026-04-20T11:25:00-04:00,272.84,STOP_HIT,-1.0,4500,0.2907,0.6793,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00021,AAPL,BUY,2026-04-20T15:15:00-04:00,2026-04-20T11:15:00-04:00,2026-04-20T15:15:00-04:00,2026-04-20T11:15:00-04:00,273.13,272.55,274.19,275.01,2026-04-20T15:30:00-04:00,2026-04-20T11:30:00-04:00,272.55,STOP_HIT,-1.0,900,0.125,0.685,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00022,AAPL,BUY,2026-04-21T14:10:00-04:00,2026-04-21T10:10:00-04:00,2026-04-21T14:10:00-04:00,2026-04-21T10:10:00-04:00,266.71,266.23,267.83,268.63,2026-04-21T14:55:00-04:00,2026-04-21T10:55:00-04:00,267.84,TARGET1_HIT,2.3542,2700,1.17,0.48,0.85,1.0,0.85,1.0,BULL,NEUTRAL
PHASE1_00023,AAPL,BUY,2026-04-21T15:30:00-04:00,2026-04-21T11:30:00-04:00,2026-04-21T15:30:00-04:00,2026-04-21T11:30:00-04:00,267.96,267.24,268.84,269.65,2026-04-21T15:35:00-04:00,2026-04-21T11:35:00-04:00,267.24,STOP_HIT,-1.0,300,0.0,0.755,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00024,AAPL,BUY,2026-04-21T14:55:00-04:00,2026-04-21T10:55:00-04:00,2026-04-21T14:55:00-04:00,2026-04-21T10:55:00-04:00,267.72,267.2,268.8,269.61,2026-04-21T15:40:00-04:00,2026-04-21T11:40:00-04:00,267.2,STOP_HIT,-1.0,2700,0.47,1.66,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00025,AAPL,BUY,2026-04-22T14:15:00-04:00,2026-04-22T10:15:00-04:00,2026-04-22T14:15:00-04:00,2026-04-22T10:15:00-04:00,273.26,272.38,274.02,274.84,2026-04-22T14:40:00-04:00,2026-04-22T10:40:00-04:00,272.38,STOP_HIT,-1.0,1500,0.0,0.98,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00026,AAPL,BUY,2026-04-22T15:50:00-04:00,2026-04-22T11:50:00-04:00,2026-04-22T15:50:00-04:00,2026-04-22T11:50:00-04:00,272.89,272.06,273.7,274.51,2026-04-23T09:30:00-04:00,2026-04-23T05:30:00-04:00,275.08,TARGET1_HIT,2.6381,63600,2.7799,0.2301,0.85,1.0,0.85,1.0,BULL,NEUTRAL
PHASE1_00027,AAPL,BUY,2026-04-23T14:50:00-04:00,2026-04-23T10:50:00-04:00,2026-04-23T14:50:00-04:00,2026-04-23T10:50:00-04:00,273.95,273.43,275.07,275.89,2026-04-23T15:50:00-04:00,2026-04-23T11:50:00-04:00,273.43,STOP_HIT,-1.0,3600,0.59,0.895,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00028,AAPL,BUY,2026-04-23T14:15:00-04:00,2026-04-23T10:15:00-04:00,2026-04-23T14:15:00-04:00,2026-04-23T10:15:00-04:00,273.29,272.92,274.56,275.39,2026-04-24T09:30:00-04:00,2026-04-24T05:30:00-04:00,272.76,STOP_HIT,-1.4324,69300,1.255,3.19,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00029,AAPL,BUY,2026-04-24T14:40:00-04:00,2026-04-24T10:40:00-04:00,2026-04-24T14:40:00-04:00,2026-04-24T10:40:00-04:00,270.21,269.68,271.3,272.11,2026-04-24T15:55:00-04:00,2026-04-24T11:55:00-04:00,271.06,TARGET1_HIT,1.6038,4500,1.27,0.31,0.85,1.0,0.85,1.0,BULL,NEUTRAL
PHASE1_00030,AAPL,BUY,2026-04-24T15:45:00-04:00,2026-04-24T11:45:00-04:00,2026-04-24T15:45:00-04:00,2026-04-24T11:45:00-04:00,270.49,270.15,271.77,272.59,2026-04-24T15:55:00-04:00,2026-04-24T11:55:00-04:00,271.17,TIMEOUT,2.0,600,0.99,0.0,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00031,AMD,BUY,2026-04-01T15:20:00-04:00,2026-04-01T11:20:00-04:00,2026-04-01T15:20:00-04:00,2026-04-01T11:20:00-04:00,211.32,211.11,212.47,213.12,2026-04-01T15:30:00-04:00,2026-04-01T11:30:00-04:00,211.11,STOP_HIT,-1.0,600,0.78,0.6215,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00032,AMD,BUY,2026-04-02T14:45:00-04:00,2026-04-02T10:45:00-04:00,2026-04-02T14:45:00-04:00,2026-04-02T10:45:00-04:00,215.72,215.42,216.72,217.36,2026-04-02T15:10:00-04:00,2026-04-02T11:10:00-04:00,217.02,TARGET1_HIT,4.2459,1500,1.305,0.0,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00033,AMD,BUY,2026-04-02T15:20:00-04:00,2026-04-02T11:20:00-04:00,2026-04-02T15:20:00-04:00,2026-04-02T11:20:00-04:00,216.94,216.01,217.3,217.95,2026-04-02T15:25:00-04:00,2026-04-02T11:25:00-04:00,217.04,TARGET1_HIT,0.1135,300,0.365,0.445,0.93,1.0,0.93,1.0,BULL,NEUTRAL
PHASE1_00034,AMD,BUY,2026-04-02T15:50:00-04:00,2026-04-02T11:50:00-04:00,2026-04-02T15:50:00-04:00,2026-04-02T11:50:00-04:00,216.92,216.7,218.43,219.09,2026-04-06T09:30:00-04:00,2026-04-06T05:30:00-04:00,225.4,TARGET1_HIT,39.0959,322800,8.6376,0.0,0.93,1.0,0.93,1.0,BULL,NEUTRAL
PHASE1_00035,AMD,BUY,2026-04-06T14:45:00-04:00,2026-04-06T10:45:00-04:00,2026-04-06T14:45:00-04:00,2026-04-06T10:45:00-04:00,220.13,219.61,220.93,221.59,2026-04-06T15:10:00-04:00,2026-04-06T11:10:00-04:00,219.61,STOP_HIT,-1.0,1500,0.28,0.5499,0.85,1.0,0.85,1.0,BULL,NEUTRAL
PHASE1_00036,AMD,BUY,2026-04-07T15:35:00-04:00,2026-04-07T11:35:00-04:00,2026-04-07T15:35:00-04:00,2026-04-07T11:35:00-04:00,218.88,218.42,219.73,220.39,2026-04-07T15:45:00-04:00,2026-04-07T11:45:00-04:00,220.26,TARGET1_HIT,2.9902,600,1.62,0.03,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00037,AMD,BUY,2026-04-09T14:15:00-04:00,2026-04-09T10:15:00-04:00,2026-04-09T14:15:00-04:00,2026-04-09T10:15:00-04:00,234.91,234.58,235.99,236.69,2026-04-09T14:55:00-04:00,2026-04-09T10:55:00-04:00,236.05,TARGET1_HIT,3.4559,2400,1.2901,0.0511,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00038,AMD,BUY,2026-04-09T14:50:00-04:00,2026-04-09T10:50:00-04:00,2026-04-09T14:50:00-04:00,2026-04-09T10:50:00-04:00,235.54,235.11,236.53,237.24,2026-04-09T15:00:00-04:00,2026-04-09T11:00:00-04:00,236.55,TARGET1_HIT,2.3488,600,1.24,0.0,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00039,AMD,BUY,2026-04-10T14:10:00-04:00,2026-04-10T10:10:00-04:00,2026-04-10T14:10:00-04:00,2026-04-10T10:10:00-04:00,245.59,245.22,246.69,247.43,2026-04-10T14:40:00-04:00,2026-04-10T10:40:00-04:00,245.22,STOP_HIT,-1.0,1800,0.73,0.7,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00040,AMD,BUY,2026-04-13T15:30:00-04:00,2026-04-13T11:30:00-04:00,2026-04-13T15:30:00-04:00,2026-04-13T11:30:00-04:00,246.94,246.41,247.89,248.63,2026-04-13T15:40:00-04:00,2026-04-13T11:40:00-04:00,246.41,STOP_HIT,-1.0,600,0.09,0.607,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00041,AMD,BUY,2026-04-13T14:50:00-04:00,2026-04-13T10:50:00-04:00,2026-04-13T14:50:00-04:00,2026-04-13T10:50:00-04:00,246.34,246.09,247.61,248.35,2026-04-14T09:30:00-04:00,2026-04-14T05:30:00-04:00,247.29,TARGET1_HIT,3.8571,67200,5.69,0.0299,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00042,AMD,BUY,2026-04-14T14:00:00-04:00,2026-04-14T10:00:00-04:00,2026-04-14T14:00:00-04:00,2026-04-14T10:00:00-04:00,253.62,253.08,254.6,255.36,2026-04-14T14:15:00-04:00,2026-04-14T10:15:00-04:00,253.08,STOP_HIT,-1.0,900,0.2029,0.6471,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00043,AMD,BUY,2026-04-14T14:30:00-04:00,2026-04-14T10:30:00-04:00,2026-04-14T14:30:00-04:00,2026-04-14T10:30:00-04:00,253.43,252.9,254.42,255.18,2026-04-14T15:05:00-04:00,2026-04-14T11:05:00-04:00,254.49,TARGET1_HIT,2.0286,2100,1.265,0.1193,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00044,AMD,BUY,2026-04-14T15:00:00-04:00,2026-04-14T11:00:00-04:00,2026-04-14T15:00:00-04:00,2026-04-14T11:00:00-04:00,254.12,253.63,255.16,255.92,2026-04-14T15:25:00-04:00,2026-04-14T11:25:00-04:00,255.17,TARGET1_HIT,2.1429,1500,1.18,0.0,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00045,AMD,BUY,2026-04-14T15:40:00-04:00,2026-04-14T11:40:00-04:00,2026-04-14T15:40:00-04:00,2026-04-14T11:40:00-04:00,255.2,254.25,255.78,256.55,2026-04-15T09:30:00-04:00,2026-04-15T05:30:00-04:00,254.25,STOP_HIT,-1.0,64200,1.3499,1.47,0.93,1.0,0.93,1.0,BULL,NEUTRAL
PHASE1_00046,AMD,BUY,2026-04-15T14:15:00-04:00,2026-04-15T10:15:00-04:00,2026-04-15T14:15:00-04:00,2026-04-15T10:15:00-04:00,254.5,254.01,255.54,256.31,2026-04-15T14:55:00-04:00,2026-04-15T10:55:00-04:00,255.32,TARGET1_HIT,1.67,2400,1.0577,0.205,0.85,1.0,0.85,1.0,BULL,NEUTRAL
PHASE1_00047,AMD,BUY,2026-04-15T14:50:00-04:00,2026-04-15T10:50:00-04:00,2026-04-15T14:50:00-04:00,2026-04-15T10:50:00-04:00,255.11,254.71,256.24,257.01,2026-04-15T15:15:00-04:00,2026-04-15T11:15:00-04:00,256.19,TARGET1_HIT,2.7,1500,1.15,0.0,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00048,AMD,BUY,2026-04-15T15:20:00-04:00,2026-04-15T11:20:00-04:00,2026-04-15T15:20:00-04:00,2026-04-15T11:20:00-04:00,256.19,255.69,257.23,258.0,2026-04-15T15:30:00-04:00,2026-04-15T11:30:00-04:00,257.4,TARGET1_HIT,2.42,600,1.28,0.0,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00049,AMD,BUY,2026-04-15T15:50:00-04:00,2026-04-15T11:50:00-04:00,2026-04-15T15:50:00-04:00,2026-04-15T11:50:00-04:00,256.96,256.69,258.24,259.01,2026-04-16T09:30:00-04:00,2026-04-16T05:30:00-04:00,268.5,TARGET1_HIT,42.7593,63600,11.75,0.0,0.89,1.0,0.89,1.0,BULL,NEUTRAL
PHASE1_00050,AMD,BUY,2026-04-16T15:30:00-04:00,2026-04-16T11:30:00-04:00,2026-04-16T15:30:00-04:00,2026-04-16T11:30:00-04:00,275.19,274.91,276.89,277.79,2026-04-16T15:40:00-04:00,2026-04-16T11:40:00-04:00,277.31,TARGET1_HIT,7.6973,600,2.3245,0.0,0.89,1.0,0.89,1.0,BULL,NEUTRAL
