alert_id,symbol,ts_entry,entry_price,direction,stop_price,target_price,risk,reward,rr_ratio,hold_minutes,logic_type,status
1,NQM6.CME@RITHMIC,2026-05-05T00:00:00.532Z,27745.78,LONG,27744.75,27747.18,1.03,1.4,1.37,29,Phase1_Absorption,TIMEOUT
2,ESM6.CME@RITHMIC,2026-05-05T00:00:01.403Z,7227.52,SHORT,7228.25,7226.92,0.73,0.6,0.83,7,Phase1_Absorption,TIMEOUT
3,NQM6.CME@RITHMIC,2026-05-05T00:00:05.105Z,27749.72,SHORT,27750.75,27748.32,1.03,1.4,1.37,18,Phase1_Absorption,TIMEOUT
4,NQM6.CME@RITHMIC,2026-05-05T00:00:05.106Z,27751.03,SHORT,27751.75,27750.43,0.72,0.6,0.83,23,Phase1_Absorption,WIN
5,ESM6.CME@RITHMIC,2026-05-05T00:00:06.440Z,7228.35,SHORT,7229.0,7227.95,0.65,0.4,0.62,29,Phase1_Absorption,LOSS
6,NQM6.CME@RITHMIC,2026-05-05T00:00:06.441Z,27752.12,SHORT,27753.0,27751.12,0.88,1.0,1.14,16,Phase1_Absorption,WIN
7,ESM6.CME@RITHMIC,2026-05-05T00:00:13.769Z,7228.1,SHORT,7228.75,7227.7,0.65,0.4,0.62,28,Phase1_Absorption,WIN
8,NQM6.CME@RITHMIC,2026-05-05T00:00:14.531Z,27749.92,SHORT,27751.25,27747.72,1.33,2.2,1.66,21,Phase1_Absorption,TIMEOUT
9,NQM6.CME@RITHMIC,2026-05-05T00:00:19.574Z,27749.97,SHORT,27751.0,27748.57,1.03,1.4,1.37,6,Phase1_Absorption,WIN
10,NQM6.CME@RITHMIC,2026-05-05T00:00:21.195Z,27748.97,LONG,27747.5,27751.57,1.47,2.6,1.76,30,Phase1_Absorption,WIN
11,NQM6.CME@RITHMIC,2026-05-05T00:00:30.193Z,27744.92,LONG,27743.75,27746.72,1.17,1.8,1.53,13,Phase1_Absorption,WIN
12,NQM6.CME@RITHMIC,2026-05-05T00:00:31.814Z,27744.05,LONG,27743.25,27744.85,0.8,0.8,1.0,30,Phase1_Absorption,LOSS
