trade_id,displacement_after_reclaim_ticks,delta_acceleration_status,time_to_peak_mfe_seconds,time_to_max_mae_seconds,post_entry_velocity,structure_break_success,follow_through_classification,mfe_mae_ratio,favorable_ticks,adverse_ticks,net_movement
1,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,0.25,3.50,-3.25
2,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.25,3.75,-3.50
3,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,0.50,3.50,-3.00
4,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,0.25,3.50,-3.25
5,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.75,3.75,-3.00
6,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.75,3.75,-3.00
7,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.75,3.75,-3.00
8,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.00,3.50,-2.50
9,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.00,3.50,-2.50
10,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.00,3.50,-2.50
11,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.50,3.50,-2.00
12,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.25,3.50,-2.25
13,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.50,3.50,-2.00
14,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.75,3.50,-1.75
15,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.00,3.50,-2.50
16,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.50,3.50,-2.00
17,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.50,3.50,0.00
18,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.25,3.50,-0.25
19,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,2.75,4.00,-1.25
20,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,3.25,3.75,-0.50
21,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,3.25,3.75,-0.50
22,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.25,3.50,-0.25
23,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,3.00,4.00,-1.00
24,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,3.00,4.00,-1.00
25,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,3.25,3.75,-0.50
26,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,3.50,4.25,-0.75
27,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,3.50,4.25,-0.75
28,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,3.50,4.00,-0.50
29,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,3.50,3.75,-0.25
30,1.25,ACCELERATING,1036,763,0.16,YES,WEAK,1.357,3.75,3.50,0.25
31,1.25,ACCELERATING,1036,763,0.16,YES,WEAK,1.357,3.75,3.50,0.25
32,1.25,ACCELERATING,1036,763,0.16,YES,WEAK,1.357,3.75,3.50,0.25
33,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.50,3.50,0.00
34,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.25,3.50,-0.25
35,1.25,ACCELERATING,1036,763,0.16,YES,WEAK,1.357,4.00,3.50,0.50
36,1.25,ACCELERATING,1036,763,0.16,YES,WEAK,1.357,3.75,3.50,0.25
37,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.25,3.50,-0.25
38,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.25,3.50,-0.25
39,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.00,3.50,-0.50
40,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.00,3.50,-0.50
41,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.00,3.50,-0.50
42,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,2.75,3.50,-0.75
43,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.25,3.50,-0.25
44,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.25,3.50,-0.25
45,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,3.25,3.50,-0.25
46,1.25,ACCELERATING,1036,763,0.16,YES,WEAK,1.357,4.00,3.50,0.50
47,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,2.50,4.00,-1.50
48,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,2.25,4.25,-2.00
49,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,2.25,4.25,-2.00
50,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,2.25,4.25,-2.00
51,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,2.75,4.25,-1.50
52,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,2.00,4.25,-2.25
53,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,2.25,4.00,-1.75
54,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,2.25,4.00,-1.75
55,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,2.00,4.50,-2.50
56,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,2.25,4.00,-1.75
57,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,2.00,4.00,-2.00
58,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,1.75,4.25,-2.50
59,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,2.50,4.00,-1.50
60,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,2.75,3.75,-1.00
61,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,2.75,3.75,-1.00
62,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,3.00,3.75,-0.75
63,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,1.75,4.25,-2.50
64,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,1.50,4.25,-2.75
65,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,2.00,4.00,-2.00
66,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,2.00,4.00,-2.00
67,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,1.75,4.00,-2.25
68,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,2.00,3.75,-1.75
