signal_ts_utc,signal_ts_et,direction,confidence,entry_price,entry_filled,stop_price,stop_filled,target1_filled,target2_filled,outcome_type,exit_price,mae,mfe,r_multiple,holding_minutes,outcome_events
2026-05-04T19:10:38.674Z,2026-05-04T15:10:38.674000-04:00,SHORT,91.4,7227.25,7228.0,7238.25,7239.25,7216.25,7205.25,TIMEOUT,7227.75,3.5,4.75,0.022222222222222223,30,47641
2026-05-04T19:10:39.166Z,2026-05-04T15:10:39.166000-04:00,SHORT,91.4,7227.0,7227.75,7238.0,7239.0,7216.0,7205.0,TIMEOUT,7227.5,3.75,4.5,0.022222222222222223,30,47616
2026-05-04T19:10:39.203Z,2026-05-04T15:10:39.203000-04:00,SHORT,91.4,7227.25,7228.0,7238.25,7239.25,7216.25,7205.25,TIMEOUT,7227.5,3.5,4.75,0.044444444444444446,30,47598
2026-05-04T19:10:54.697Z,2026-05-04T15:10:54.697000-04:00,SHORT,91.4,7227.25,7228.0,7238.25,7239.25,7216.25,7205.25,TIMEOUT,7227.75,3.5,4.75,0.022222222222222223,30,47661
2026-05-04T19:11:54.314Z,2026-05-04T15:11:54.314000-04:00,SHORT,91.4,7227.0,7227.75,7238.0,7239.0,7216.0,7205.0,TIMEOUT,7227.0,3.75,4.5,0.06666666666666667,30,47073
2026-05-04T19:11:54.325Z,2026-05-04T15:11:54.325000-04:00,SHORT,91.4,7227.0,7227.75,7238.0,7239.0,7216.0,7205.0,TIMEOUT,7227.0,3.75,4.5,0.06666666666666667,30,47050
2026-05-04T19:11:55.159Z,2026-05-04T15:11:55.159000-04:00,SHORT,91.4,7227.0,7227.75,7238.0,7239.0,7216.0,7205.0,TIMEOUT,7227.0,3.75,4.5,0.06666666666666667,30,47031
2026-05-04T19:11:55.695Z,2026-05-04T15:11:55.695000-04:00,SHORT,91.4,7227.25,7228.0,7238.25,7239.25,7216.25,7205.25,TIMEOUT,7227.0,3.5,4.75,0.08888888888888889,30,47014
2026-05-04T19:11:55.706Z,2026-05-04T15:11:55.706000-04:00,SHORT,91.4,7227.25,7228.0,7238.25,7239.25,7216.25,7205.25,TIMEOUT,7227.0,3.5,4.75,0.08888888888888889,30,46994
2026-05-04T19:11:55.744Z,2026-05-04T15:11:55.744000-04:00,SHORT,91.4,7227.25,7228.0,7238.5,7239.5,7216.0,7204.75,TIMEOUT,7227.0,3.5,4.75,0.08695652173913043,30,46972
