entry_ts,exit_ts,symbol,direction,entry_price,exit_price,contracts,pnl,mae,mfe,exit_reason,signal
2026-05-03T20:48:39.080000+00:00,2026-05-03T20:50:39.213000+00:00,BTC_USD@GDAX,SHORT,48295.00,48285.00,1,10.00,3.00,4.00,time,sweep_resist_exhaust_
2026-05-03T20:50:41.138000+00:00,2026-05-03T20:52:41.501000+00:00,BTC_USD@GDAX,LONG,48280.00,48325.00,1,45.00,1.00,9.00,time,reclaim
2026-05-03T20:52:48.844000+00:00,2026-05-03T20:54:48.958000+00:00,BTC_USD@GDAX,SHORT,48320.00,48345.00,1,-25.00,5.00,1.00,time,failed_break
2026-05-03T20:54:48.958000+00:00,2026-05-03T20:56:48.996000+00:00,BTC_USD@GDAX,SHORT,48345.00,48355.00,1,-10.00,4.00,1.00,time,failed_break
2026-05-03T20:56:51.545000+00:00,2026-05-03T20:58:51.850000+00:00,BTC_USD@GDAX,LONG,48350.00,48320.00,1,-30.00,7.00,1.00,time,reclaim
2026-05-03T20:58:54.092000+00:00,2026-05-03T21:00:55.049000+00:00,BTC_USD@GDAX,LONG,48310.00,48315.00,1,5.00,2.00,2.00,time,reclaim
2026-05-03T21:00:57.325000+00:00,2026-05-03T21:02:57.604000+00:00,ESU1.CME@RITHMIC,LONG,4505.00,4506.00,1,45.00,0.00,4.00,time,reclaim
2026-05-03T21:02:57.754000+00:00,2026-05-03T21:04:58.632000+00:00,BTC_USD@GDAX,LONG,48300.00,48380.00,1,80.00,5.00,16.00,time,reclaim
2026-05-03T21:04:58.632000+00:00,2026-05-03T21:06:58.810000+00:00,BTC_USD@GDAX,SHORT,48380.00,48375.00,1,5.00,0.00,5.00,time,failed_break
2026-05-03T21:06:58.810000+00:00,2026-05-03T21:08:49.132000+00:00,BTC_USD@GDAX,SHORT,48375.00,48340.00,1,35.00,1.00,8.00,,failed_break
